"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"Hls Dos","Jeff","Dunn","1541 Massachusetts Ave","Cambridge","MA","02138","Verified","042.377693","-071.119637","00006","$336,000"
"Hong Kong Restaurant","Paul","Lee","1238 Massachusetts Ave","Cambridge","MA","02138","Verified","042.372356","-071.116051","00006","$336,000"
"Hops N Scotch","","","1248 Cambridge St","Cambridge","MA","02139","Verified","042.373294","-071.098464","00006","$336,000"
"Hot Pot Boston 1 LLC","","","485 Massachusetts Ave","Cambridge","MA","02139","Verified","042.364065","-071.101155","00006","$336,000"
"Hourly Oyster House","Patrick","Lee","15 Dunster St","Cambridge","MA","02138","Verified","042.372932","-071.119179","00006","$336,000"
"House Of Chang","Kathy","Chang","282 Concord Ave","Cambridge","MA","02138","Verified","042.383423","-071.133703","00006","$336,000"
"Huamulan Restaurant Inc","Shui H","Hua","228 Broadway","Cambridge","MA","02139","Verified","042.366398","-071.094270","00006","$336,000"
"Hub Con Inc","Vincent","Leo","517 Concord Ave","Cambridge","MA","02138","Verified","042.387956","-071.142005","00006","$336,000"
"Hyatt Regency-Cambridge","Anne","Beaumont","575 Memorial Dr","Cambridge","MA","02139","Verified","042.353685","-071.103931","00275","$31,367,000"
"IHOP Restaurant","","","16 Eliot St # 18","Cambridge","MA","02138","Verified","042.372199","-071.121577","00010","$752,000"
"Ima Pizza Store 22 LLC","Michael","Lastoria","3 Brattle St","Cambridge","MA","02138","Verified","042.373585","-071.119576","00006","$336,000"
"India Pavilion","Mohen","Singh","17 Central Sq","Cambridge","MA","02139","Verified","042.365406","-071.104797","00003","$168,000"
"Inteahouse Inc","Xin","Liu","727 Massachusetts Ave","Cambridge","MA","02139","Verified","042.366306","-071.104675","00006","$336,000"
"Intrepid Cafe","Mark","Karsdorf","150 1st St","Cambridge","MA","02142","Verified","042.366468","-071.077355","00006","$336,000"
"Island Creek Oyster","","","2 Bennett St","Cambridge","MA","02138","Verified","042.377600","-071.124700","00006","$336,000"
"Jasper White's Summer Shack","Alexander","Doten","149 Alewife Brook Pkwy","Cambridge","MA","02140","Verified","042.393555","-071.141054","00006","$336,000"
"Joe Sent Me","Sandy","Mccullough","2388 Massachusetts Ave","Cambridge","MA","02140","Verified","042.396770","-071.129859","00016","$895,000"
"Jose's Mexican Restaurant","Carlos","Mendez","131 Sherman St","Cambridge","MA","02140","Verified","042.390184","-071.132848","00010","$560,000"
"Jp Licks Mass Ave","Kimberly","Diaz","1312 Massachusetts Ave","Cambridge","MA","02138","Verified","042.372852","-071.117462","00015","$839,000"
"KAYA Restaurant","Unju","Tha","1924 Massachusetts Ave","Cambridge","MA","02140","Verified","042.389204","-071.120493","00010","$560,000"
"Kendall Hotel","Charolette","Forsythe","350 Main St","Cambridge","MA","02142","Verified","042.362267","-071.087225","00029","$3,308,000"
"Kendall House Of Pizza","Michael","Stefos","201 3rd St","Cambridge","MA","02141","Verified","042.367641","-071.081376","00003","$168,000"
